Soma multi thread tipo 2:

Com 4 threads
E 100 arquivos
Cada arquivo com 1000000 numeros

Thread 1:

teste_1.txt: Tempo de duracao: 0.673000
teste_2.txt: Tempo de duracao: 0.532000
teste_3.txt: Tempo de duracao: 0.490000
teste_4.txt: Tempo de duracao: 0.489000
teste_5.txt: Tempo de duracao: 0.489000
teste_6.txt: Tempo de duracao: 0.485000
teste_7.txt: Tempo de duracao: 0.480000
teste_8.txt: Tempo de duracao: 0.480000
teste_9.txt: Tempo de duracao: 0.527000
teste_10.txt: Tempo de duracao: 0.489000
teste_11.txt: Tempo de duracao: 0.485000
teste_12.txt: Tempo de duracao: 0.496000
teste_13.txt: Tempo de duracao: 0.487000
teste_14.txt: Tempo de duracao: 0.494000
teste_15.txt: Tempo de duracao: 0.499000
teste_16.txt: Tempo de duracao: 0.486000
teste_17.txt: Tempo de duracao: 0.488000
teste_18.txt: Tempo de duracao: 0.484000
teste_19.txt: Tempo de duracao: 0.487000
teste_20.txt: Tempo de duracao: 0.483000
teste_21.txt: Tempo de duracao: 0.482000
teste_22.txt: Tempo de duracao: 0.492000
teste_23.txt: Tempo de duracao: 0.496000
teste_24.txt: Tempo de duracao: 0.496000
teste_25.txt: Tempo de duracao: 0.481000

Resultado do thread 1:  Tempo total: 13.742000

Thread 2:

teste_26.txt: Tempo de duracao: 1.405000
teste_27.txt: Tempo de duracao: 1.357000
teste_28.txt: Tempo de duracao: 1.325000
teste_29.txt: Tempo de duracao: 1.368000
teste_30.txt: Tempo de duracao: 1.386000
teste_31.txt: Tempo de duracao: 1.326000
teste_32.txt: Tempo de duracao: 1.345000
teste_33.txt: Tempo de duracao: 1.341000
teste_34.txt: Tempo de duracao: 1.326000
teste_35.txt: Tempo de duracao: 1.257000
teste_36.txt: Tempo de duracao: 1.117000
teste_37.txt: Tempo de duracao: 1.138000
teste_38.txt: Tempo de duracao: 1.194000
teste_39.txt: Tempo de duracao: 1.196000
teste_40.txt: Tempo de duracao: 1.225000
teste_41.txt: Tempo de duracao: 1.196000
teste_42.txt: Tempo de duracao: 0.569000
teste_43.txt: Tempo de duracao: 0.633000
teste_44.txt: Tempo de duracao: 0.624000
teste_45.txt: Tempo de duracao: 0.560000
teste_46.txt: Tempo de duracao: 0.539000
teste_47.txt: Tempo de duracao: 0.543000
teste_48.txt: Tempo de duracao: 0.571000
teste_49.txt: Tempo de duracao: 0.498000
teste_50.txt: Tempo de duracao: 0.566000

Resultado do thread 2:  Tempo total: 25.605000

Thread 3:

teste_51.txt: Tempo de duracao: 1.443000
teste_52.txt: Tempo de duracao: 1.357000
teste_53.txt: Tempo de duracao: 1.287000
teste_54.txt: Tempo de duracao: 1.353000
teste_55.txt: Tempo de duracao: 1.341000
teste_56.txt: Tempo de duracao: 1.372000
teste_57.txt: Tempo de duracao: 1.346000
teste_58.txt: Tempo de duracao: 1.318000
teste_59.txt: Tempo de duracao: 1.381000
teste_60.txt: Tempo de duracao: 1.227000
teste_61.txt: Tempo de duracao: 1.116000
teste_62.txt: Tempo de duracao: 1.207000
teste_63.txt: Tempo de duracao: 1.261000
teste_64.txt: Tempo de duracao: 1.201000
teste_65.txt: Tempo de duracao: 1.251000
teste_66.txt: Tempo de duracao: 1.133000
teste_67.txt: Tempo de duracao: 0.587000
teste_68.txt: Tempo de duracao: 0.601000
teste_69.txt: Tempo de duracao: 0.588000
teste_70.txt: Tempo de duracao: 0.565000
teste_71.txt: Tempo de duracao: 0.626000
teste_72.txt: Tempo de duracao: 0.631000
teste_73.txt: Tempo de duracao: 0.541000
teste_74.txt: Tempo de duracao: 0.541000
teste_75.txt: Tempo de duracao: 0.594000

Resultado do thread 3:  Tempo total: 25.868000

Thread 4:

teste_76.txt: Tempo de duracao: 1.123000
teste_77.txt: Tempo de duracao: 1.063000
teste_78.txt: Tempo de duracao: 1.029000
teste_79.txt: Tempo de duracao: 1.064000
teste_80.txt: Tempo de duracao: 1.078000
teste_81.txt: Tempo de duracao: 1.083000
teste_82.txt: Tempo de duracao: 1.055000
teste_83.txt: Tempo de duracao: 1.079000
teste_84.txt: Tempo de duracao: 1.071000
teste_85.txt: Tempo de duracao: 1.037000
teste_86.txt: Tempo de duracao: 1.037000
teste_87.txt: Tempo de duracao: 1.036000
teste_88.txt: Tempo de duracao: 0.489000
teste_89.txt: Tempo de duracao: 0.531000
teste_90.txt: Tempo de duracao: 0.499000
teste_91.txt: Tempo de duracao: 0.498000
teste_92.txt: Tempo de duracao: 0.492000
teste_93.txt: Tempo de duracao: 0.596000
teste_94.txt: Tempo de duracao: 0.660000
teste_95.txt: Tempo de duracao: 0.529000
teste_96.txt: Tempo de duracao: 0.573000
teste_97.txt: Tempo de duracao: 0.533000
teste_98.txt: Tempo de duracao: 0.568000
teste_99.txt: Tempo de duracao: 0.542000
teste_100.txt: Tempo de duracao: 0.522000

Resultado do thread 4:  Tempo total: 21.121000

Tempo total: 86.336000

