Soma multi thread tipo 1:

Com 4 threads
E 100 arquivos
Cada arquivo com 1000000 numeros

teste_0.txt: Tempo de duracao: 0.531000
teste_0.txt: Tempo de duracao: 1.361000
teste_0.txt: Tempo de duracao: 1.367000
teste_0.txt: Tempo de duracao: 1.114000
teste_4.txt: Tempo de duracao: 0.593000
teste_4.txt: Tempo de duracao: 1.203000
teste_4.txt: Tempo de duracao: 1.269000
teste_4.txt: Tempo de duracao: 1.309000
teste_8.txt: Tempo de duracao: 0.592000
teste_8.txt: Tempo de duracao: 1.422000
teste_8.txt: Tempo de duracao: 1.420000
teste_8.txt: Tempo de duracao: 1.209000
teste_12.txt: Tempo de duracao: 0.516000
teste_12.txt: Tempo de duracao: 1.433000
teste_12.txt: Tempo de duracao: 1.445000
teste_12.txt: Tempo de duracao: 1.228000
teste_16.txt: Tempo de duracao: 0.568000
teste_16.txt: Tempo de duracao: 1.313000
teste_16.txt: Tempo de duracao: 1.310000
teste_16.txt: Tempo de duracao: 1.091000
teste_20.txt: Tempo de duracao: 0.530000
teste_20.txt: Tempo de duracao: 1.385000
teste_20.txt: Tempo de duracao: 1.385000
teste_20.txt: Tempo de duracao: 1.150000
teste_24.txt: Tempo de duracao: 0.589000
teste_24.txt: Tempo de duracao: 1.335000
teste_24.txt: Tempo de duracao: 1.335000
teste_24.txt: Tempo de duracao: 1.204000
teste_28.txt: Tempo de duracao: 0.536000
teste_28.txt: Tempo de duracao: 1.453000
teste_28.txt: Tempo de duracao: 1.449000
teste_28.txt: Tempo de duracao: 1.219000
teste_32.txt: Tempo de duracao: 0.525000
teste_32.txt: Tempo de duracao: 1.388000
teste_32.txt: Tempo de duracao: 1.375000
teste_32.txt: Tempo de duracao: 1.109000
teste_36.txt: Tempo de duracao: 0.581000
teste_36.txt: Tempo de duracao: 1.260000
teste_36.txt: Tempo de duracao: 1.227000
teste_36.txt: Tempo de duracao: 1.031000
teste_40.txt: Tempo de duracao: 0.540000
teste_40.txt: Tempo de duracao: 1.347000
teste_40.txt: Tempo de duracao: 1.348000
teste_40.txt: Tempo de duracao: 1.171000
teste_44.txt: Tempo de duracao: 0.503000
teste_44.txt: Tempo de duracao: 1.234000
teste_44.txt: Tempo de duracao: 1.248000
teste_44.txt: Tempo de duracao: 1.102000
teste_48.txt: Tempo de duracao: 0.506000
teste_48.txt: Tempo de duracao: 1.318000
teste_48.txt: Tempo de duracao: 1.335000
teste_48.txt: Tempo de duracao: 1.035000
teste_52.txt: Tempo de duracao: 0.512000
teste_52.txt: Tempo de duracao: 1.356000
teste_52.txt: Tempo de duracao: 1.373000
teste_52.txt: Tempo de duracao: 1.181000
teste_56.txt: Tempo de duracao: 0.531000
teste_56.txt: Tempo de duracao: 1.317000
teste_56.txt: Tempo de duracao: 1.285000
teste_56.txt: Tempo de duracao: 1.125000
teste_60.txt: Tempo de duracao: 0.493000
teste_60.txt: Tempo de duracao: 1.347000
teste_60.txt: Tempo de duracao: 1.360000
teste_60.txt: Tempo de duracao: 1.192000
teste_64.txt: Tempo de duracao: 0.544000
teste_64.txt: Tempo de duracao: 1.272000
teste_64.txt: Tempo de duracao: 1.250000
teste_64.txt: Tempo de duracao: 1.149000
teste_68.txt: Tempo de duracao: 0.511000
teste_68.txt: Tempo de duracao: 1.355000
teste_68.txt: Tempo de duracao: 1.334000
teste_68.txt: Tempo de duracao: 1.053000
teste_72.txt: Tempo de duracao: 0.589000
teste_72.txt: Tempo de duracao: 1.339000
teste_72.txt: Tempo de duracao: 1.159000
teste_72.txt: Tempo de duracao: 1.352000
teste_76.txt: Tempo de duracao: 0.490000
teste_76.txt: Tempo de duracao: 1.315000
teste_76.txt: Tempo de duracao: 1.304000
teste_76.txt: Tempo de duracao: 1.092000
teste_80.txt: Tempo de duracao: 0.555000
teste_80.txt: Tempo de duracao: 1.382000
teste_80.txt: Tempo de duracao: 1.398000
teste_80.txt: Tempo de duracao: 1.166000
teste_84.txt: Tempo de duracao: 0.568000
teste_84.txt: Tempo de duracao: 1.255000
teste_84.txt: Tempo de duracao: 1.259000
teste_84.txt: Tempo de duracao: 1.161000
teste_88.txt: Tempo de duracao: 0.482000
teste_88.txt: Tempo de duracao: 1.280000
teste_88.txt: Tempo de duracao: 1.300000
teste_88.txt: Tempo de duracao: 0.999000
teste_92.txt: Tempo de duracao: 0.515000
teste_92.txt: Tempo de duracao: 1.329000
teste_92.txt: Tempo de duracao: 1.334000
teste_92.txt: Tempo de duracao: 1.105000
teste_96.txt: Tempo de duracao: 0.540000
teste_96.txt: Tempo de duracao: 1.282000
teste_96.txt: Tempo de duracao: 1.251000
teste_96.txt: Tempo de duracao: 1.051000

Tempo total de duracao: 108.439000
