Organizacao multi thread tipo 2:

Com 6 threads
E 100 arquivos
Cada arquivo com 1000000 numeros

Thread 1:

teste_1.txt: Tempo de preencher: 0.663000   Tempo de organizacao: 0.049000
teste_2.txt: Tempo de preencher: 0.582000   Tempo de organizacao: 0.053000
teste_3.txt: Tempo de preencher: 0.559000   Tempo de organizacao: 0.136000
teste_4.txt: Tempo de preencher: 0.504000   Tempo de organizacao: 0.135000
teste_5.txt: Tempo de preencher: 0.491000   Tempo de organizacao: 0.136000
teste_6.txt: Tempo de preencher: 0.484000   Tempo de organizacao: 0.135000
teste_7.txt: Tempo de preencher: 0.506000   Tempo de organizacao: 0.134000
teste_8.txt: Tempo de preencher: 0.480000   Tempo de organizacao: 0.140000
teste_9.txt: Tempo de preencher: 0.488000   Tempo de organizacao: 0.136000
teste_10.txt: Tempo de preencher: 0.486000   Tempo de organizacao: 0.134000
teste_11.txt: Tempo de preencher: 0.486000   Tempo de organizacao: 0.134000
teste_12.txt: Tempo de preencher: 0.485000   Tempo de organizacao: 0.138000
teste_13.txt: Tempo de preencher: 0.511000   Tempo de organizacao: 0.139000
teste_14.txt: Tempo de preencher: 0.489000   Tempo de organizacao: 0.135000
teste_15.txt: Tempo de preencher: 0.487000   Tempo de organizacao: 0.134000
teste_16.txt: Tempo de preencher: 0.484000   Tempo de organizacao: 0.135000

Resultado do thread 1:  Tempo total: 10.188000

Thread 2:

teste_17.txt: Tempo de preencher: 1.618000   Tempo de organizacao: 0.136000
teste_18.txt: Tempo de preencher: 1.452000   Tempo de organizacao: 0.136000
teste_19.txt: Tempo de preencher: 1.383000   Tempo de organizacao: 0.136000
teste_20.txt: Tempo de preencher: 1.402000   Tempo de organizacao: 0.134000
teste_21.txt: Tempo de preencher: 1.418000   Tempo de organizacao: 0.134000
teste_22.txt: Tempo de preencher: 1.415000   Tempo de organizacao: 0.134000
teste_23.txt: Tempo de preencher: 1.304000   Tempo de organizacao: 0.134000
teste_24.txt: Tempo de preencher: 1.128000   Tempo de organizacao: 0.135000
teste_25.txt: Tempo de preencher: 1.190000   Tempo de organizacao: 0.133000
teste_26.txt: Tempo de preencher: 1.188000   Tempo de organizacao: 0.138000
teste_27.txt: Tempo de preencher: 1.159000   Tempo de organizacao: 0.135000
teste_28.txt: Tempo de preencher: 1.005000   Tempo de organizacao: 0.135000
teste_29.txt: Tempo de preencher: 1.035000   Tempo de organizacao: 0.177000
