Soma multi thread tipo 1:

Com 6 threads
E 100 arquivos
Cada arquivo com 1000000 numeros

teste_0.txt: Tempo de duracao: 0.623000
teste_0.txt: Tempo de duracao: 1.673000
teste_0.txt: Tempo de duracao: 0.677000
teste_0.txt: Tempo de duracao: 1.680000
teste_0.txt: Tempo de duracao: 1.777000
teste_0.txt: Tempo de duracao: 1.674000
teste_6.txt: Tempo de duracao: 0.481000
teste_6.txt: Tempo de duracao: 1.470000
teste_6.txt: Tempo de duracao: 1.585000
teste_6.txt: Tempo de duracao: 1.584000
teste_6.txt: Tempo de duracao: 1.602000
teste_6.txt: Tempo de duracao: 0.551000
teste_12.txt: Tempo de duracao: 0.487000
teste_12.txt: Tempo de duracao: 1.547000
teste_12.txt: Tempo de duracao: 1.553000
teste_12.txt: Tempo de duracao: 1.631000
teste_12.txt: Tempo de duracao: 1.645000
teste_12.txt: Tempo de duracao: 0.527000
teste_18.txt: Tempo de duracao: 0.502000
teste_18.txt: Tempo de duracao: 1.570000
teste_18.txt: Tempo de duracao: 1.580000
teste_18.txt: Tempo de duracao: 1.619000
teste_18.txt: Tempo de duracao: 1.586000
teste_18.txt: Tempo de duracao: 0.529000
teste_24.txt: Tempo de duracao: 0.497000
teste_24.txt: Tempo de duracao: 1.534000
teste_24.txt: Tempo de duracao: 1.544000
teste_24.txt: Tempo de duracao: 1.662000
teste_24.txt: Tempo de duracao: 1.686000
teste_24.txt: Tempo de duracao: 0.525000
teste_30.txt: Tempo de duracao: 0.525000
teste_30.txt: Tempo de duracao: 1.647000
teste_30.txt: Tempo de duracao: 1.641000
teste_30.txt: Tempo de duracao: 1.610000
teste_30.txt: Tempo de duracao: 1.610000
teste_30.txt: Tempo de duracao: 0.583000
teste_36.txt: Tempo de duracao: 0.524000
teste_36.txt: Tempo de duracao: 1.550000
teste_36.txt: Tempo de duracao: 1.583000
teste_36.txt: Tempo de duracao: 1.578000
teste_36.txt: Tempo de duracao: 1.569000
teste_36.txt: Tempo de duracao: 0.550000
teste_42.txt: Tempo de duracao: 0.483000
teste_42.txt: Tempo de duracao: 1.582000
teste_42.txt: Tempo de duracao: 1.586000
teste_42.txt: Tempo de duracao: 1.644000
teste_42.txt: Tempo de duracao: 1.638000
teste_42.txt: Tempo de duracao: 0.518000
teste_48.txt: Tempo de duracao: 0.497000
teste_48.txt: Tempo de duracao: 1.604000
teste_48.txt: Tempo de duracao: 1.608000
teste_48.txt: Tempo de duracao: 1.625000
teste_48.txt: Tempo de duracao: 1.603000
teste_48.txt: Tempo de duracao: 0.545000
teste_54.txt: Tempo de duracao: 0.500000
teste_54.txt: Tempo de duracao: 1.408000
teste_54.txt: Tempo de duracao: 1.462000
teste_54.txt: Tempo de duracao: 1.636000
teste_54.txt: Tempo de duracao: 1.652000
teste_54.txt: Tempo de duracao: 0.529000
teste_60.txt: Tempo de duracao: 0.509000
teste_60.txt: Tempo de duracao: 1.620000
teste_60.txt: Tempo de duracao: 1.629000
teste_60.txt: Tempo de duracao: 1.620000
teste_60.txt: Tempo de duracao: 1.619000
teste_60.txt: Tempo de duracao: 0.558000
teste_66.txt: Tempo de duracao: 0.479000
teste_66.txt: Tempo de duracao: 1.423000
teste_66.txt: Tempo de duracao: 1.548000
teste_66.txt: Tempo de duracao: 1.580000
teste_66.txt: Tempo de duracao: 1.594000
teste_66.txt: Tempo de duracao: 0.522000
teste_72.txt: Tempo de duracao: 0.516000
teste_72.txt: Tempo de duracao: 1.559000
teste_72.txt: Tempo de duracao: 1.549000
teste_72.txt: Tempo de duracao: 1.637000
teste_72.txt: Tempo de duracao: 1.641000
teste_72.txt: Tempo de duracao: 0.572000
teste_78.txt: Tempo de duracao: 0.500000
teste_78.txt: Tempo de duracao: 1.587000
teste_78.txt: Tempo de duracao: 1.603000
teste_78.txt: Tempo de duracao: 1.548000
teste_78.txt: Tempo de duracao: 1.610000
teste_78.txt: Tempo de duracao: 0.529000
teste_84.txt: Tempo de duracao: 0.509000
teste_84.txt: Tempo de duracao: 1.536000
teste_84.txt: Tempo de duracao: 1.570000
teste_84.txt: Tempo de duracao: 1.626000
teste_84.txt: Tempo de duracao: 1.634000
teste_84.txt: Tempo de duracao: 0.549000
teste_90.txt: Tempo de duracao: 0.501000
teste_90.txt: Tempo de duracao: 1.600000
teste_90.txt: Tempo de duracao: 1.623000
teste_90.txt: Tempo de duracao: 1.546000
teste_90.txt: Tempo de duracao: 1.571000
teste_90.txt: Tempo de duracao: 0.549000
teste_96.txt: Tempo de duracao: 0.500000
teste_96.txt: Tempo de duracao: 1.286000
teste_96.txt: Tempo de duracao: 1.359000
teste_96.txt: Tempo de duracao: 1.193000

Tempo total de duracao: 123.395000
