Soma multi thread tipo 1:

Com 10 threads
E 100 arquivos
Cada arquivo com 1000000 numeros

teste_0.txt: Tempo de duracao: 0.646000
teste_0.txt: Tempo de duracao: 1.670000
teste_0.txt: Tempo de duracao: 1.743000
teste_0.txt: Tempo de duracao: 1.758000
teste_0.txt: Tempo de duracao: 1.722000
teste_0.txt: Tempo de duracao: 1.759000
teste_0.txt: Tempo de duracao: 1.732000
teste_0.txt: Tempo de duracao: 1.765000
teste_0.txt: Tempo de duracao: 1.795000
teste_0.txt: Tempo de duracao: 0.631000
teste_10.txt: Tempo de duracao: 0.562000
teste_10.txt: Tempo de duracao: 1.649000
teste_10.txt: Tempo de duracao: 1.652000
teste_10.txt: Tempo de duracao: 1.623000
teste_10.txt: Tempo de duracao: 1.594000
teste_10.txt: Tempo de duracao: 1.689000
teste_10.txt: Tempo de duracao: 1.696000
teste_10.txt: Tempo de duracao: 1.705000
teste_10.txt: Tempo de duracao: 1.665000
teste_10.txt: Tempo de duracao: 0.539000
teste_20.txt: Tempo de duracao: 0.597000
teste_20.txt: Tempo de duracao: 1.658000
teste_20.txt: Tempo de duracao: 1.658000
teste_20.txt: Tempo de duracao: 1.566000
teste_20.txt: Tempo de duracao: 1.598000
teste_20.txt: Tempo de duracao: 1.668000
teste_20.txt: Tempo de duracao: 1.614000
teste_20.txt: Tempo de duracao: 1.689000
teste_20.txt: Tempo de duracao: 1.694000
teste_20.txt: Tempo de duracao: 0.621000
teste_30.txt: Tempo de duracao: 0.530000
teste_30.txt: Tempo de duracao: 1.685000
teste_30.txt: Tempo de duracao: 1.671000
teste_30.txt: Tempo de duracao: 1.645000
teste_30.txt: Tempo de duracao: 1.637000
teste_30.txt: Tempo de duracao: 1.645000
teste_30.txt: Tempo de duracao: 1.554000
teste_30.txt: Tempo de duracao: 1.683000
teste_30.txt: Tempo de duracao: 1.691000
teste_30.txt: Tempo de duracao: 0.572000
teste_40.txt: Tempo de duracao: 0.535000
teste_40.txt: Tempo de duracao: 1.689000
teste_40.txt: Tempo de duracao: 1.668000
teste_40.txt: Tempo de duracao: 1.680000
teste_40.txt: Tempo de duracao: 1.646000
teste_40.txt: Tempo de duracao: 1.697000
teste_40.txt: Tempo de duracao: 1.677000
teste_40.txt: Tempo de duracao: 1.696000
teste_40.txt: Tempo de duracao: 1.726000
teste_40.txt: Tempo de duracao: 0.712000
teste_50.txt: Tempo de duracao: 0.580000
teste_50.txt: Tempo de duracao: 1.680000
teste_50.txt: Tempo de duracao: 1.645000
teste_50.txt: Tempo de duracao: 1.542000
teste_50.txt: Tempo de duracao: 1.445000
teste_50.txt: Tempo de duracao: 1.651000
teste_50.txt: Tempo de duracao: 1.580000
teste_50.txt: Tempo de duracao: 1.718000
teste_50.txt: Tempo de duracao: 1.705000
teste_50.txt: Tempo de duracao: 0.552000
teste_60.txt: Tempo de duracao: 0.514000
teste_60.txt: Tempo de duracao: 1.665000
teste_60.txt: Tempo de duracao: 1.685000
teste_60.txt: Tempo de duracao: 1.703000
teste_60.txt: Tempo de duracao: 1.702000
teste_60.txt: Tempo de duracao: 1.668000
teste_60.txt: Tempo de duracao: 1.670000
teste_60.txt: Tempo de duracao: 1.715000
teste_60.txt: Tempo de duracao: 1.633000
teste_60.txt: Tempo de duracao: 0.613000
teste_70.txt: Tempo de duracao: 0.512000
teste_70.txt: Tempo de duracao: 1.620000
teste_70.txt: Tempo de duracao: 1.643000
teste_70.txt: Tempo de duracao: 1.659000
teste_70.txt: Tempo de duracao: 1.584000
teste_70.txt: Tempo de duracao: 1.712000
teste_70.txt: Tempo de duracao: 1.673000
teste_70.txt: Tempo de duracao: 1.685000
teste_70.txt: Tempo de duracao: 1.697000
teste_70.txt: Tempo de duracao: 0.618000
teste_80.txt: Tempo de duracao: 0.599000
teste_80.txt: Tempo de duracao: 1.670000
teste_80.txt: Tempo de duracao: 1.648000
teste_80.txt: Tempo de duracao: 1.643000
teste_80.txt: Tempo de duracao: 1.551000
teste_80.txt: Tempo de duracao: 1.647000
teste_80.txt: Tempo de duracao: 1.560000
teste_80.txt: Tempo de duracao: 1.688000
teste_80.txt: Tempo de duracao: 1.697000
teste_80.txt: Tempo de duracao: 0.604000
teste_90.txt: Tempo de duracao: 0.633000
teste_90.txt: Tempo de duracao: 1.670000
teste_90.txt: Tempo de duracao: 1.681000
teste_90.txt: Tempo de duracao: 1.663000
teste_90.txt: Tempo de duracao: 1.694000
teste_90.txt: Tempo de duracao: 1.687000
teste_90.txt: Tempo de duracao: 1.685000
teste_90.txt: Tempo de duracao: 1.699000
teste_90.txt: Tempo de duracao: 1.698000
teste_90.txt: Tempo de duracao: 0.564000

Tempo total de duracao: 145.047000
